Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying? ,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?   ",Which of these factors would most motivate you to apply for a position at the organisation?  ,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?  ,awareness_score,motivation_category,attractiveness_rating,awareness_normalized,attractiveness_normalized,composite_intent_score,cluster
50,2025-09-05 15:11:26,2025-10-02 19:03:10,Complete,English,1757056281_68ba8d1964a734.45845891,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,202.161.35.28,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7,Meaningful work impact,,1,Values-oriented,7,0.0,0.6666666666666666,0.3333333333333333,3
51,2025-09-05 15:11:51,2025-09-05 15:14:08,Complete,English,1757056306_68ba8d329e9961.89560775,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.122.108,-97.821998596191,37.750999450684,United States,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9,Compensation package,,4,Stability-oriented,9,1.0,0.8888888888888888,0.9444444444444444,2
52,2025-09-05 15:13:55,2025-09-05 15:14:46,Complete,English,1757056432_68ba8db0b0bbd1.81304697,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.53.94,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8,Career growth opportunities,,3,Growth-oriented,8,0.6666666666666666,0.7777777777777778,0.7222222222222222,2
53,2025-09-05 15:15:21,2025-09-05 15:17:20,Complete,English,1757056508_68ba8dfc67ea19.97725711,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.56.69.163,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Career growth opportunities,,2,Growth-oriented,8,0.3333333333333333,0.7777777777777778,0.5555555555555556,3
56,2025-09-05 15:22:22,2025-09-05 15:23:43,Complete,English,1757056937_68ba8fa9da0b28.56477914,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.48.131,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,6,Meaningful work impact,,3,Values-oriented,6,0.6666666666666666,0.5555555555555556,0.6111111111111112,1
57,2025-09-05 15:22:38,2025-09-05 15:23:53,Complete,English,1757056942_68ba8fae6464c3.76808118,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.234.50.115,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,5,Learning and development,,2,Growth-oriented,5,0.3333333333333333,0.4444444444444444,0.38888888888888884,3
58,2025-09-05 15:24:49,2025-09-08 13:28:19,Complete,English,1757057082_68ba903a7d2138.36444735,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,8,Work-life balance,,4,Values-oriented,8,1.0,0.7777777777777778,0.8888888888888888,2
60,2025-09-05 15:33:01,2025-09-05 15:34:51,Complete,English,1757057576_68ba9228c57988.38996066,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.27,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5,Work-life balance,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
61,2025-09-05 15:38:21,2025-09-05 18:44:27,Complete,English,1757057897_68ba9369b02379.02681336,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,6,Career growth opportunities,,4,Growth-oriented,6,1.0,0.5555555555555556,0.7777777777777778,1
62,2025-09-05 15:38:19,2025-09-05 15:40:01,Complete,English,1757057896_68ba9368ae48d4.56240433,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,,Application and interview process,,,4,Work-life balance,,1,Values-oriented,4,0.0,0.3333333333333333,0.16666666666666666,0
63,2025-09-05 15:49:01,2025-09-05 15:50:08,Complete,English,1757058518_68ba95d6dd2350.30458166,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Meaningful work impact,,3,Values-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
64,2025-09-05 15:49:00,2025-09-05 15:49:51,Complete,English,1757058535_68ba95e7153502.88036321,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,119.56.102.11,103.88590240479,1.3552000522614,Singapore,Singapore,0,53,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8,Meaningful work impact,,4,Values-oriented,8,1.0,0.7777777777777778,0.8888888888888888,2
65,2025-09-05 15:53:50,2025-09-05 15:54:55,Complete,English,1757058824_68ba970846a311.64426194,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,122.11.245.16,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,9,Meaningful work impact,,4,Values-oriented,9,1.0,0.8888888888888888,0.9444444444444444,2
67,2025-09-05 16:00:09,2025-09-05 16:00:57,Complete,English,1757059206_68ba9886884065.95635060,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,111.65.33.159,103.83670043945,1.3652000427246,Singapore,Singapore,0,57,Singapore Management University (SMU),Year 4,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,6,Meaningful work impact,,3,Values-oriented,6,0.6666666666666666,0.5555555555555556,0.6111111111111112,1
68,2025-09-05 16:03:56,2025-09-05 16:05:40,Complete,English,1757059429_68ba99654a8c96.53192895,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.16,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8,Meaningful work impact,,4,Values-oriented,8,1.0,0.7777777777777778,0.8888888888888888,2
69,2025-09-05 16:10:33,2025-09-07 15:38:17,Complete,English,1757059823_68ba9aef452174.84327629,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",,119.56.71.55,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8,Work-life balance,,2,Values-oriented,8,0.3333333333333333,0.7777777777777778,0.5555555555555556,3
71,2025-09-05 16:15:08,2025-09-05 16:16:45,Complete,English,1757060098_68ba9c02267d58.64220687,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.234.18.78,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Meaningful work impact,,3,Values-oriented,8,0.6666666666666666,0.7777777777777778,0.7222222222222222,2
72,2025-09-05 16:15:08,2025-09-06 01:21:59,Complete,English,1757060095_68ba9bffa7dc01.58389923,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.27,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,Compensation and benefits,,,,,6,Career growth opportunities,,1,Growth-oriented,6,0.0,0.5555555555555556,0.2777777777777778,0
73,2025-09-05 16:15:36,2025-09-05 16:16:45,Complete,English,1757060127_68ba9c1fa8ea70.51980889,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.56.96.24,103.87239837646,1.3343000411987,Singapore,Singapore,0,34,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Job security,,3,Stability-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
74,2025-09-05 16:15:44,2025-09-05 16:16:49,Complete,English,1757060136_68ba9c28b3d3f2.23020398,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.234.10.245,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 3,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7,Meaningful work impact,,3,Values-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
75,2025-09-05 16:21:06,2025-09-05 22:12:41,Complete,English,1757060461_68ba9d6d641a08.26710243,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,104.28.122.109,-97.821998596191,37.750999450684,United States,,,,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7,Meaningful work impact,,4,Values-oriented,7,1.0,0.6666666666666666,0.8333333333333333,2
77,2025-09-05 16:36:42,2025-09-08 13:29:37,Complete,English,1757061398_68baa116626333.57893476,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,119.56.66.170,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Meaningful work impact,,3,Values-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
78,2025-09-05 16:37:03,2025-09-05 16:38:38,Complete,English,1757061414_68baa126015622.43131157,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",,202.161.35.29,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 3,Bachelor's Degree,Politics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Work-life balance,,4,Values-oriented,8,1.0,0.7777777777777778,0.8888888888888888,2
79,2025-09-05 16:44:19,2025-09-05 16:45:58,Complete,English,1757061854_68baa2de054aa2.35595702,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,119.56.74.57,103.80139923096,1.3673000335693,Singapore,,,,Singapore Management University (SMU),Year 3,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7,Career growth opportunities,,3,Growth-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
80,2025-09-05 16:45:27,2025-09-05 16:46:26,Complete,English,1757061921_68baa321f148a7.96217010,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Mobile/15E148 Safari/604.1",,202.161.35.16,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Meaningful work impact,,4,Values-oriented,7,1.0,0.6666666666666666,0.8333333333333333,2
81,2025-09-05 16:45:29,2025-09-05 16:46:31,Complete,English,1757061923_68baa323188e30.51516018,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Work-life balance,,2,Values-oriented,7,0.3333333333333333,0.6666666666666666,0.5,3
83,2025-09-05 17:17:11,2025-09-05 17:18:43,Complete,English,1757063827_68baaa93a07c74.77817106,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",,119.234.53.174,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,7,Career growth opportunities,,2,Growth-oriented,7,0.3333333333333333,0.6666666666666666,0.5,3
