Status,Country,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying?,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",Which of these factors would most motivate you to apply for a position at the organisation?,target,survey_duration_minutes,hour_started,is_weekend,is_business_hours,is_mobile,is_singapore,zero_duration,likely_timeout,reached_demographics,reached_perception,reached_interests,reached_attractiveness,reached_motivation,inst_grouped,subj_grouped,gender_fixed
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,6.0,Meaningful work impact,0,1.35,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,5.0,Learning and development,0,1.25,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Work-life balance,0,4203.5,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Medicine, Dentistry and related subjects",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5.0,Work-life balance,0,1.8333333333333333,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Other/General,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,6.0,Career growth opportunities,0,186.1,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,,Application and interview process,,,4.0,Work-life balance,0,1.7,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Meaningful work impact,0,1.1166666666666667,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,0,0.85,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Meaningful work impact,0,1.0833333333333333,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,6.0,Meaningful work impact,0,0.8,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,0,1.7333333333333334,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Work-life balance,0,2847.733333333333,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Meaningful work impact,0,1.6166666666666667,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,Compensation and benefits,,,,,6.0,Career growth opportunities,0,546.85,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Job security,0,1.15,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7.0,Meaningful work impact,0,1.0833333333333333,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,United States,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Meaningful work impact,0,351.5833333333333,16,0,1,1,0,0,0,1,1,1,1,1,Autonomous,Business/Management,Male
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Meaningful work impact,0,4132.916666666667,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,Politics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Work-life balance,0,1.5833333333333333,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7.0,Career growth opportunities,0,1.65,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Meaningful work impact,0,0.9833333333333333,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Work-life balance,0,1.0333333333333334,16,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Male
Partial,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,,,,,,,,,,,1,1.4333333333333333,16,0,1,1,1,0,0,1,0,0,0,0,Autonomous,STEM,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,7.0,Career growth opportunities,0,1.5333333333333334,17,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,10,1,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,14,1,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Meaningful work impact,0,0.7166666666666667,20,1,0,0,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,,Work-life balance and culture,Application and interview process,,,6.0,Work-life balance,0,1.7166666666666666,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,4.0,Job security,0,1.0333333333333334,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,10.0,Work-life balance,0,172.45,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Job security,0,145.36666666666667,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Partial,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,,,,,,,,,,,1,147.65,20,0,0,1,1,0,1,1,0,0,0,0,Autonomous,Arts/Social Sciences,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,7.0,Meaningful work impact,0,1.2333333333333334,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,7.0,Career growth opportunities,0,1.55,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Partial,United States,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,0,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,,,,,,,,,,,1,0.9333333333333333,20,0,0,1,1,0,0,1,0,0,0,0,Autonomous,Arts/Social Sciences,Female
Partial,Singapore,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,1,1409.0333333333333,20,0,0,1,1,0,1,1,0,0,0,0,Autonomous,STEM,Male
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,United States,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Politics,Singaporean/Singapore PR,Female,,,,,,,,,,,1,0.7666666666666667,20,0,0,1,0,0,0,1,0,0,0,0,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,6.0,Work-life balance,0,142.85,20,0,0,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,30.666666666666668,20,0,0,1,1,0,1,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,20,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,97.16666666666667,20,0,0,1,1,0,1,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,22,0,0,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,6.0,Work-life balance,0,4.833333333333333,22,0,0,0,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,Work-life balance and culture,,,,6.0,Career growth opportunities,0,3.283333333333333,22,0,0,0,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,Types of roles available,Career progression and development,,Work-life balance and culture,,,,4.0,Career growth opportunities,0,6.716666666666667,22,0,0,0,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,9,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,14,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,,,Application and interview process,,,6.0,Job security,0,7.2,16,0,1,0,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,Compensation and benefits,,,,,9.0,Meaningful work impact,0,0.7666666666666667,16,0,1,0,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
Complete,Singapore,Nanyang Technological University (NTU),Year 1,Bachelor's Degree,Social Science,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,,Work-life balance and culture,Application and interview process,,,6.0,Career growth opportunities,0,1.4166666666666667,16,0,1,0,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Job security,0,10.05,16,0,1,0,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Natural Science (Physics, Chemistry, Biology, Earth Sciences, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5.0,Learning and development,0,1.7833333333333334,16,0,1,0,1,0,0,1,1,1,1,1,Autonomous,STEM,Female
