demo_col,n1,n0,feature,pct_if_demo_1,pct_if_demo_0,diff_pp,abs_diff_pp,events_total,outcome_type
ctrl_gender_Female,1108,740,motivate_Job security,15.613718411552346,10.81081081081081,4.802907600741536,4.802907600741536,253,motivation
ctrl_gender_Female,1108,740,motivate_Work-life balance,19.855595667870034,18.10810810810811,1.7474875597619253,1.7474875597619253,354,motivation
ctrl_gender_Female,1108,740,motivate_Career growth opportunities,22.292418772563177,20.675675675675677,1.6167430968875003,1.6167430968875003,400,motivation
ctrl_gender_Female,1108,740,motivate_Compensation package,4.241877256317689,5.675675675675676,-1.433798419357987,1.433798419357987,89,motivation
ctrl_gender_Female,1108,740,motivate_Learning and development,5.595667870036101,5.405405405405405,0.1902624646306954,0.1902624646306954,102,motivation
ctrl_gender_Male,686,1162,motivate_Meaningful work impact,39.795918367346935,31.841652323580032,7.9542660437669035,7.9542660437669035,643,motivation
ctrl_gender_Male,686,1162,motivate_Job security,10.349854227405247,15.66265060240964,-5.3127963750043925,5.3127963750043925,253,motivation
ctrl_gender_Male,686,1162,motivate_Career growth opportunities,20.262390670553938,22.461273666092943,-2.1988829955390052,2.1988829955390052,400,motivation
ctrl_gender_Male,686,1162,motivate_Compensation package,6.122448979591836,4.044750430292599,2.077698549299237,2.077698549299237,89,motivation
ctrl_gender_Male,686,1162,motivate_Work-life balance,18.075801749271136,19.793459552495698,-1.7176578032245615,1.7176578032245615,354,motivation
ctrl_gender_Male,686,1162,motivate_Learning and development,5.1020408163265305,5.76592082616179,-0.6638800098352595,0.6638800098352595,102,motivation
ctrl_is_local_AU,1691,157,motivate_Career growth opportunities,22.41277350680071,13.375796178343949,9.036977328456762,9.036977328456762,400,motivation
ctrl_is_local_AU,1691,157,motivate_Learning and development,4.967474866942637,11.464968152866243,-6.497493285923606,6.497493285923606,102,motivation
ctrl_is_local_AU,1691,157,motivate_Compensation package,4.967474866942637,3.1847133757961785,1.7827614911464584,1.7827614911464584,89,motivation
ctrl_is_local_AU,1691,157,motivate_Meaningful work impact,34.654050857480776,36.30573248407643,-1.6516816265956535,1.6516816265956535,643,motivation
ctrl_is_local_AU,1691,157,motivate_Work-life balance,19.04198698994678,20.382165605095544,-1.3401786151487656,1.3401786151487656,354,motivation
ctrl_is_local_AU,1691,157,motivate_Job security,13.601419278533411,14.64968152866242,-1.0482622501290084,1.0482622501290084,253,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Career growth opportunities,25.423728813559322,21.38728323699422,4.0364455765651,4.0364455765651,400,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Work-life balance,16.101694915254235,19.36416184971098,-3.2624669344567465,3.2624669344567465,354,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Learning and development,2.5423728813559325,5.722543352601156,-3.1801704712452237,3.1801704712452237,102,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Compensation package,6.779661016949152,4.682080924855491,2.0975800920936614,2.0975800920936614,89,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Meaningful work impact,35.59322033898305,34.73988439306358,0.8533359459194685,0.8533359459194685,643,motivation
ctrl_discipline_Business & Economics,118,1730,motivate_Job security,13.559322033898304,13.699421965317917,-0.14009993141961274,0.14009993141961274,253,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Meaningful work impact,38.15789473684211,34.49292452830189,3.6649702085402183,3.6649702085402183,643,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Career growth opportunities,19.736842105263158,21.816037735849054,-2.0791956305858967,2.0791956305858967,400,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Compensation package,3.289473684210526,4.952830188679245,-1.663356504468719,1.663356504468719,89,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Work-life balance,19.736842105263158,19.10377358490566,0.6330685203574973,0.6330685203574973,354,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Learning and development,5.263157894736842,5.5424528301886795,-0.2792949354518379,0.2792949354518379,102,motivation
ctrl_discipline_Social Sciences,152,1696,motivate_Job security,13.815789473684212,13.679245283018867,0.1365441906653455,0.1365441906653455,253,motivation
ctrl_discipline_Unknown,1519,329,motivate_Learning and development,5.266622778143516,6.68693009118541,-1.420307313041894,1.420307313041894,102,motivation
ctrl_discipline_Unknown,1519,329,motivate_Work-life balance,19.35483870967742,18.237082066869302,1.1177566428081178,1.1177566428081178,354,motivation
ctrl_discipline_Unknown,1519,329,motivate_Meaningful work impact,34.89137590520079,34.34650455927052,0.5448713459302681,0.5448713459302681,643,motivation
ctrl_discipline_Unknown,1519,329,motivate_Compensation package,4.739960500329164,5.167173252279635,-0.4272127519504716,0.4272127519504716,89,motivation
ctrl_discipline_Unknown,1519,329,motivate_Job security,13.627386438446345,13.98176291793313,-0.35437647948678475,0.35437647948678475,253,motivation
ctrl_discipline_Unknown,1519,329,motivate_Career growth opportunities,21.658986175115206,21.580547112462007,0.07843906265319944,0.07843906265319944,400,motivation
